paddock,c1_figure_key,c1_figure_exists,n_sites,site_ids
Bala 29ca,Bala_29ca,TRUE,10,GA_008 GA_009 GA_010 GA_034 GA_035 GA_036 GA_043 GA_055 GA_056 GA_058
Bala 28ca,Bala_28ca,TRUE,8,GA_003 GA_004 GA_005 GA_006 GA_007 GA_053 GA_054 GA_066
Dinan 8,Dinan_8,TRUE,4,GA_025 GA_026 GA_027 GA_028
Bala 26ca,Bala_26ca,TRUE,3,GA_001 GA_002 GA_057
Mara 7,Mara_7,TRUE,2,GA_022 GA_040
Bala 20,Bala_20,TRUE,2,GA_050 GA_063
Bala 6,Bala_6,TRUE,1,GA_013
Bala 12,Bala_12,TRUE,1,GA_016
Bala 17,Bala_17,TRUE,1,GA_017
Bala 21,Bala_21,TRUE,1,GA_019
Bala 8/11,Bala_8_11,TRUE,1,GA_020
Mara 8,Mara_8,TRUE,1,GA_039
Dinan 3,Dinan_3,TRUE,1,GA_041
Bala 19,Bala_19,TRUE,1,GA_046
Bala 23,Bala_23,TRUE,1,GA_051
Mara 21,Mara_21,TRUE,1,GA_052
<NO PADDOCK>,,FALSE,18,GA_018 GA_024 GA_031 GA_032 GA_033 GA_037 GA_038 GA_042 GA_044 GA_045 GA_047 GA_048 GA_049 GA_059 GA_060 GA_061 GA_062 GA_064
