"paddock","dominant","dom_share_pct","focus"
"Bala 6","Inland Floodplain Shrublands / Swamps",58.4,TRUE
"Bala 12","Inland Floodplain Shrublands / Swamps",75.5,TRUE
"Bala 17","Inland Floodplain Shrublands / Swamps",100,TRUE
"Bala 19","Inland Floodplain Shrublands / Swamps",100,TRUE
"Bala 20","Inland Floodplain Shrublands / Swamps",76.2,TRUE
"Bala 21","Inland Floodplain Shrublands / Swamps",100,TRUE
"Bala 23","Inland Floodplain Shrublands / Swamps",81.6,TRUE
"Bala 26ca","Inland Floodplain Shrublands / Swamps",98.1,TRUE
"Bala 28ca","Inland Floodplain Shrublands / Swamps",72.9,TRUE
"Bala 29ca","Inland Floodplain Shrublands / Swamps",32.7,TRUE
"Bala 8/11","Inland Floodplain Shrublands / Swamps",99.8,TRUE
"Dinan 1","Inland Floodplain Shrublands / Swamps",53.1,TRUE
"Dinan 3","Inland Floodplain Shrublands / Swamps",36.1,TRUE
"Dinan 6","Inland Floodplain Shrublands / Swamps",67.1,TRUE
"Dinan 8","Riverine Chenopod Shrublands",52,TRUE
"Dinan 10","Aeolian Chenopod Shrublands",54.3,TRUE
"Dinan 12","Riverine Chenopod Shrublands",61.4,TRUE
"Mara 7","Inland Floodplain Shrublands / Swamps",91.3,TRUE
"Mara 8","Aeolian Chenopod Shrublands",50.1,TRUE
"Mara 13","Floodplain Woodland / Forest",54.3,FALSE
"Mara 21","Inland Floodplain Shrublands / Swamps",76,TRUE
