residual_rank,cut_year,q_ratio,diff_pp,predicted,residual_pp,residual_sd_ddof1,is_real
1,2005,0.2442,-20.4338,-29.1005,8.6667,2.081,FALSE
2,2018,1.1787,9.2961,1.7813,7.5148,1.804,TRUE
3,1999,0.3902,-26.801,-19.9062,-6.8948,-1.655,FALSE
4,2000,0.3594,-27.8198,-21.5192,-6.3006,-1.513,FALSE
5,2004,0.2512,-22.6191,-28.546,5.9269,1.423,FALSE
6,1995,0.5041,-20.5072,-14.8818,-5.6254,-1.351,FALSE
7,1994,0.4907,-20.9825,-15.4103,-5.5722,-1.338,FALSE
8,1997,0.4573,-22.2634,-16.7933,-5.4701,-1.313,FALSE
9,2016,0.7807,-2.1984,-6.3007,4.1023,0.985,FALSE
10,2010,1.2898,7.0714,3.5484,3.523,0.846,FALSE
11,2009,1.1699,5.0038,1.6343,3.3695,0.809,FALSE
12,1998,0.4367,-20.9374,-17.6975,-3.2399,-0.778,FALSE
13,2003,0.2696,-23.9915,-27.159300000000002,3.1678,0.761,FALSE
14,1996,0.542,-16.377,-13.4597,-2.9173,-0.7,FALSE
15,2017,0.9365,-5.6433,-2.7311,-2.9122,-0.699,FALSE
16,2008,1.0515,2.287,-0.4589,2.7459,0.659,FALSE
17,2011,1.049,-2.9769,-0.5056,-2.4713,-0.593,FALSE
18,2002,0.2733,-24.4256,-26.8919,2.4663,0.592,FALSE
19,2006,0.5267,-11.9082,-14.0214,2.1132,0.507,FALSE
20,2007,0.8614,-2.5414,-4.3709,1.8295,0.439,FALSE
21,2012,0.99,-0.394,-1.6412,1.2472,0.299,FALSE
22,2015,0.7917,-4.9742,-6.0262,1.052,0.253,FALSE
23,2014,0.8305,-4.4826,-5.0876,0.605,0.145,FALSE
24,2013,0.8653,-3.9666,-4.2823,0.3157,0.076,FALSE
25,2001,0.3025,-24.6278,-24.9005,0.2727,0.065,FALSE
